CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,2,0,2,,HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,,2,,HYTQ0001,HYUNDAI SANTA FE 73 ENT RAYADO,,
HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,5,0,5,,HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,,5,,HYTQ0002,HYUNDAI SANTA FE 73. SAL RAYADO,,
HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,1,0,1,,HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,,1,,HYTQ0003,HYUNDAI SANTA FE  76 SAL RAYADO,,
HYTQ0004,HYUNDAI GRANDIS ENT,4,0,4,,HYTQ0004,HYUNDAI GRANDIS ENT,,4,,HYTQ0004,HYUNDAI GRANDIS ENT,,
HYTQ0005,HYUNDAI VERACRUZ ENT,15,0,15,,HYTQ0005,HYUNDAI VERACRUZ ENT,,15,,HYTQ0005,HYUNDAI VERACRUZ ENT,,
HYTQ0006,HYUNDAI VERACRUZ. SAL,6,0,6,,HYTQ0006,HYUNDAI VERACRUZ. SAL,,6,,HYTQ0006,HYUNDAI VERACRUZ. SAL,,
HYTQ0007,HYUNDAI H1 . SAL ,1,0,1,,HYTQ0007,HYUNDAI H1 . SAL ,,1,,HYTQ0007,HYUNDAI H1 . SAL ,,
HYTQ0008,HYUNDAI MATRIX SAL,3,0,3,,HYTQ0008,HYUNDAI MATRIX SAL,,3,,HYTQ0008,HYUNDAI MATRIX SAL,,
HYTQ0009,HYUNDAI MATRIX ENT,10,0,10,,HYTQ0009,HYUNDAI MATRIX ENT,,10,,HYTQ0009,HYUNDAI MATRIX ENT,,
HYTQ0010,HYUNDAI ACCENT ENT ,10,0,10,,HYTQ0010,HYUNDAI ACCENT ENT ,,10,,HYTQ0010,HYUNDAI ACCENT ENT ,,
HYTQ0011,HYUNDAI ACCENT SAL,4,0,4,,HYTQ0011,HYUNDAI ACCENT SAL,,4,,HYTQ0011,HYUNDAI ACCENT SAL,,
HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,4,0,4,,HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,,4,,HYTQ0012,HYUNDAI ELANTRA ENT / SONATA,,
HYTQ0013,HYUNDAI ELENTRA ENT 00-001,7,0,7,,HYTQ0013,HYUNDAI ELENTRA ENT 00-001,,7,,HYTQ0013,HYUNDAI ELENTRA ENT 00-001,,
HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,4,0,4,,HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,,4,,HYTQ0014,HYUNDAI ELANTRA .SAL 63cm,,
HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,8,0,8,,HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,,8,,HYTQ0015,HYUNDAI ELANTRA. SAL 68cm,,
HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,14,0,14,,HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,,14,,HYTQ0016,HYUNDAI ELANTRA SAL 67 cm,,
HYTQ0017,HYUNDAI H-1 2.5 ENT ,3,0,3,,HYTQ0017,HYUNDAI H-1 2.5 ENT ,,3,,HYTQ0017,HYUNDAI H-1 2.5 ENT ,,
HYTQ0018,HYUNDAI H1 2.5 SAL,1,0,1,,HYTQ0018,HYUNDAI H1 2.5 SAL,,1,,HYTQ0018,HYUNDAI H1 2.5 SAL,,
HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,7,0,7,,HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,,7,,HYTQ0019,HYUNDAI SONATA 2.5 /2.4/2.2 ENT GRUESO RAYADO,,
HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,4,0,4,,HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,,4,,HYTQ0020,HYUNDAI SONATA 92-94 GRUESO SAL,,
HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,21,0,21,,HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,,21,,HYTQ0021,HYUNDAI ENT BOQUETON AFUERA 67 /69/ 70,,
