CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
RCH001,IMPALA,1,0,1,,RCH001,IMPALA,,1,,RCH001,IMPALA,,
RCH002,MALIBU,1,0,1,,RCH002,MALIBU,,1,,RCH002,MALIBU,,
RCH003,CHEVROLET COLORADO,1,0,1,,RCH003,CHEVROLET COLORADO,,1,,RCH003,CHEVROLET COLORADO,,
RCH004,CAPTIVA (2007-2013,0,0,0,,RCH004,CAPTIVA (2007-2013,,,,RCH004,CAPTIVA (2007-2013,,
RCH005,SILVERADO ( 2 ENFRIADOR),0,0,0,,RCH005,SILVERADO ( 2 ENFRIADOR),,,,RCH005,SILVERADO ( 2 ENFRIADOR),,
RCH006,SILVERADO (1 ENFRIADOR),0,0,0,,RCH006,SILVERADO (1 ENFRIADOR),,,,RCH006,SILVERADO (1 ENFRIADOR),,
RCH007,SILVERADO ,1,0,1,,RCH007,SILVERADO ,,1,,RCH007,SILVERADO ,,
RCH008,EPICA,0,0,0,,RCH008,EPICA,,,,RCH008,EPICA,,
RCH009,CAVALIER,0,0,0,,RCH009,CAVALIER,,,,RCH009,CAVALIER,,
RCH010,AVEO (CORTO),0,0,0,,RCH010,AVEO (CORTO),,,,RCH010,AVEO (CORTO),,
RCH011,AVEO ,2,0,2,,RCH011,AVEO ,,2,,RCH011,AVEO ,,
RCH012,SPARK,1,0,1,,RCH012,SPARK,,1,,RCH012,SPARK,,
RCH013,MONZA (AUTOMATICO),1,0,1,,RCH013,MONZA (AUTOMATICO),,1,,RCH013,MONZA (AUTOMATICO),,
RCH014,MONZA (SINCRONICO),1,0,1,,RCH014,MONZA (SINCRONICO),,1,,RCH014,MONZA (SINCRONICO),,
RCH015,SIWFT (SINCRONICO),0,0,0,,RCH015,SIWFT (SINCRONICO),,,,RCH015,SIWFT (SINCRONICO),,
RCH016,DMAX,0,0,0,,RCH016,DMAX,,,,RCH016,DMAX,,
RCH017,GRAND MARQUIS,0,0,0,,RCH017,GRAND MARQUIS,,,,RCH017,GRAND MARQUIS,,
RCH018,TRIAL BLAZER ,1,0,1,,RCH018,TRIAL BLAZER ,,1,,RCH018,TRIAL BLAZER ,,
RCH019,VITARA,0,0,0,,RCH019,VITARA,,,,RCH019,VITARA,,
RCH020,VITARA MODERNA,1,0,1,,RCH020,VITARA MODERNA,,1,,RCH020,VITARA MODERNA,,
RKI021,KIA CARENS (SINCRONICO),1,0,1,,RKI021,KIA CARENS (SINCRONICO),,1,,RKI021,KIA CARENS (SINCRONICO),,
RKI022,KIA CARENS ,1,0,1,,RKI022,KIA CARENS ,,1,,RKI022,KIA CARENS ,,
RKI023,KIA CERATO (2000 - 2002),0,0,0,,RKI023,KIA CERATO (2000 - 2002),,,,RKI023,KIA CERATO (2000 - 2002),,
